model,layer,alpha,num_tokens,mean_unique_groups,u1_rate,u2_rate,local_rel_l2,local_rel_l2_p95,local_cosine
mixtral,0,0.0,16384,1.58770751953125,0.41229248046875,0.58770751953125,0.40493887662887573,0.7343836426734924,0.893212080001831
mixtral,1,0.0,16384,1.75347900390625,0.24652099609375,0.75347900390625,0.49937140941619873,0.7006421089172363,0.874184787273407
mixtral,2,0.0,16384,1.5865478515625,0.4134521484375,0.5865478515625,0.4051631689071655,0.7083736062049866,0.9018116593360901
mixtral,3,0.0,16384,1.7314453125,0.2685546875,0.7314453125,0.5148728489875793,0.7585403919219971,0.83982253074646
mixtral,4,0.0,16384,1.79718017578125,0.20281982421875,0.79718017578125,0.5209097266197205,0.741566002368927,0.8386870622634888
mixtral,5,0.0,16384,1.753662109375,0.246337890625,0.753662109375,0.5134550929069519,0.726199746131897,0.8374288082122803
mixtral,6,0.0,16384,1.72564697265625,0.27435302734375,0.72564697265625,0.517589807510376,0.7352029085159302,0.8327249884605408
mixtral,7,0.0,16384,1.8138427734375,0.1861572265625,0.8138427734375,0.5486267805099487,0.7140769362449646,0.8247556686401367
mixtral,8,0.0,16384,1.64306640625,0.35693359375,0.64306640625,0.47598886489868164,0.780318021774292,0.8388689160346985
mixtral,9,0.0,16384,1.75115966796875,0.24884033203125,0.75115966796875,0.5674796104431152,0.7355002760887146,0.814035952091217
mixtral,10,0.0,16384,1.64569091796875,0.35430908203125,0.64569091796875,0.5244085192680359,0.7906799912452698,0.8225606083869934
mixtral,11,0.0,16384,1.53173828125,0.46826171875,0.53173828125,0.5837914943695068,0.7653672695159912,0.7947400808334351
mixtral,12,0.0,16384,1.55169677734375,0.44830322265625,0.55169677734375,0.5329694151878357,0.8353162407875061,0.791993260383606
mixtral,13,0.0,16384,1.64398193359375,0.35601806640625,0.64398193359375,0.5723609924316406,0.7917306423187256,0.7903951406478882
mixtral,14,0.0,16384,1.625,0.375,0.625,0.5746845602989197,0.7957583069801331,0.7957804203033447
mixtral,15,0.0,16384,1.75286865234375,0.24713134765625,0.75286865234375,0.5265864133834839,0.7810834050178528,0.8245671391487122
mixtral,16,0.0,16384,1.6107177734375,0.3892822265625,0.6107177734375,0.45091235637664795,0.7350063323974609,0.8590686917304993
mixtral,17,0.0,16384,1.6849365234375,0.3150634765625,0.6849365234375,0.4530966281890869,0.7668792009353638,0.8531971573829651
mixtral,18,0.0,16384,1.70703125,0.29296875,0.70703125,0.4788441061973572,0.7292705178260803,0.8542983531951904
mixtral,19,0.0,16384,1.64141845703125,0.35858154296875,0.64141845703125,0.42077547311782837,0.7386029958724976,0.8698192834854126
mixtral,20,0.0,16384,1.73712158203125,0.26287841796875,0.73712158203125,0.5056234002113342,0.7793214917182922,0.8310145735740662
mixtral,21,0.0,16384,1.80279541015625,0.19720458984375,0.80279541015625,0.590000331401825,0.7938207983970642,0.7894874215126038
mixtral,22,0.0,16384,1.70318603515625,0.29681396484375,0.70318603515625,0.5846298933029175,0.8653446435928345,0.7633562088012695
mixtral,23,0.0,16384,1.62274169921875,0.37725830078125,0.62274169921875,0.575134813785553,0.9148417115211487,0.7514074444770813
mixtral,24,0.0,16384,1.7039794921875,0.2960205078125,0.7039794921875,0.5771180391311646,0.8983397483825684,0.7560470104217529
mixtral,25,0.0,16384,1.69305419921875,0.30694580078125,0.69305419921875,0.5042555332183838,0.9287992119789124,0.7808337807655334
mixtral,26,0.0,16384,1.5101318359375,0.4898681640625,0.5101318359375,0.4940376281738281,0.9041721224784851,0.7804218530654907
mixtral,27,0.0,16384,1.6265869140625,0.3734130859375,0.6265869140625,0.4484298825263977,0.8764128684997559,0.8335508704185486
mixtral,28,0.0,16384,1.77069091796875,0.22930908203125,0.77069091796875,0.4162371754646301,0.8086336255073547,0.869107186794281
mixtral,29,0.0,16384,1.60089111328125,0.39910888671875,0.60089111328125,0.401434987783432,0.7871649265289307,0.8732947111129761
mixtral,30,0.0,16384,1.64788818359375,0.35211181640625,0.64788818359375,0.29138073325157166,0.71705561876297,0.9315348863601685
mixtral,31,0.0,16384,1.6431884765625,0.3568115234375,0.6431884765625,0.12497101724147797,0.2847054898738861,0.9866054654121399
mixtral,0,0.5,16384,1.58770751953125,0.41229248046875,0.58770751953125,0.40493887662887573,0.7343836426734924,0.893212080001831
mixtral,1,0.5,16384,1.60009765625,0.39990234375,0.60009765625,0.4649750590324402,0.7246267795562744,0.8767935037612915
mixtral,2,0.5,16384,1.59014892578125,0.40985107421875,0.59014892578125,0.4115070700645447,0.7133135199546814,0.8983185887336731
mixtral,3,0.5,16384,1.5987548828125,0.4012451171875,0.5987548828125,0.4834252893924713,0.7875913381576538,0.8365018963813782
mixtral,4,0.5,16384,1.60894775390625,0.39105224609375,0.60894775390625,0.4913329482078552,0.7813585996627808,0.8362498879432678
mixtral,5,0.5,16384,1.61871337890625,0.38128662109375,0.61871337890625,0.4709351062774658,0.7547358274459839,0.8470088839530945
mixtral,6,0.5,16384,1.58294677734375,0.41705322265625,0.58294677734375,0.48932188749313354,0.7501229643821716,0.8366270661354065
mixtral,7,0.5,16384,1.6199951171875,0.3800048828125,0.6199951171875,0.4822859466075897,0.7623752951622009,0.8348739147186279
mixtral,8,0.5,16384,1.62542724609375,0.37457275390625,0.62542724609375,0.4748475253582001,0.7735919952392578,0.8386856317520142
mixtral,9,0.5,16384,1.60565185546875,0.39434814453125,0.60565185546875,0.5229961276054382,0.7816653251647949,0.8159477710723877
mixtral,10,0.5,16384,1.61663818359375,0.38336181640625,0.61663818359375,0.5006011128425598,0.764596164226532,0.8354040384292603
mixtral,11,0.5,16384,1.53173828125,0.46826171875,0.53173828125,0.5837914943695068,0.7653672695159912,0.7947400808334351
mixtral,12,0.5,16384,1.48175048828125,0.51824951171875,0.48175048828125,0.5513861179351807,0.8211743831634521,0.7803497314453125
mixtral,13,0.5,16384,1.55242919921875,0.44757080078125,0.55242919921875,0.5120212435722351,0.8140047788619995,0.8010234236717224
mixtral,14,0.5,16384,1.52410888671875,0.47589111328125,0.52410888671875,0.517333984375,0.8081066608428955,0.8074181079864502
mixtral,15,0.5,16384,1.57781982421875,0.42218017578125,0.57781982421875,0.5454956293106079,0.8122681379318237,0.7941157817840576
mixtral,16,0.5,16384,1.5811767578125,0.4188232421875,0.5811767578125,0.46826988458633423,0.7462756633758545,0.8478567600250244
mixtral,17,0.5,16384,1.58349609375,0.41650390625,0.58349609375,0.45964211225509644,0.7811463475227356,0.8392917513847351
mixtral,18,0.5,16384,1.615966796875,0.384033203125,0.615966796875,0.4590880274772644,0.7485878467559814,0.8549219965934753
mixtral,19,0.5,16384,1.56842041015625,0.43157958984375,0.56842041015625,0.43630629777908325,0.7415265440940857,0.8570737242698669
mixtral,20,0.5,16384,1.62689208984375,0.37310791015625,0.62689208984375,0.46585384011268616,0.80079585313797,0.8320358395576477
mixtral,21,0.5,16384,1.591064453125,0.408935546875,0.591064453125,0.5137481093406677,0.8374855518341064,0.8012245893478394
mixtral,22,0.5,16384,1.5938720703125,0.4061279296875,0.5938720703125,0.5485016107559204,0.8870033621788025,0.7644058465957642
mixtral,23,0.5,16384,1.6041259765625,0.3958740234375,0.6041259765625,0.5304710268974304,0.9177154898643494,0.7632795572280884
mixtral,24,0.5,16384,1.6134033203125,0.3865966796875,0.6134033203125,0.5175430774688721,0.9176239371299744,0.7702957391738892
mixtral,25,0.5,16384,1.70733642578125,0.29266357421875,0.70733642578125,0.6320478916168213,0.8841515183448792,0.7417500019073486
mixtral,26,0.5,16384,1.5101318359375,0.4898681640625,0.5101318359375,0.4940376281738281,0.9041721224784851,0.7804218530654907
mixtral,27,0.5,16384,1.56182861328125,0.43817138671875,0.56182861328125,0.4310367703437805,0.8714913725852966,0.8390229940414429
