model,layer,alpha,num_tokens,mean_unique_groups,u1_rate,u2_rate,u3_rate,u4_rate,local_rel_l2,local_rel_l2_p95,local_cosine
qwen,0,0.0,16384,2.83544921875,0.1097412109375,0.27178955078125,0.291748046875,0.32672119140625,0.2631647288799286,0.7895965576171875,0.9232650399208069
qwen,1,0.0,16384,2.82757568359375,0.11962890625,0.23114013671875,0.35125732421875,0.2979736328125,0.27426010370254517,0.7848252654075623,0.9208353161811829
qwen,2,0.0,16384,2.8660888671875,0.0938720703125,0.2510986328125,0.35009765625,0.304931640625,0.32571128010749817,0.8146880865097046,0.8982785940170288
qwen,3,0.0,16384,2.8719482421875,0.0997314453125,0.252197265625,0.324462890625,0.3236083984375,0.350727379322052,0.8484846949577332,0.8816611766815186
qwen,4,0.0,16384,2.86865234375,0.10821533203125,0.2467041015625,0.31329345703125,0.331787109375,0.3412329852581024,0.8431274890899658,0.8862796425819397
qwen,5,0.0,16384,2.926513671875,0.07025146484375,0.23553466796875,0.39166259765625,0.30255126953125,0.39662957191467285,0.8409484028816223,0.8692454695701599
qwen,6,0.0,16384,2.87493896484375,0.08721923828125,0.26873779296875,0.325927734375,0.318115234375,0.35438671708106995,0.7900084853172302,0.8917394280433655
qwen,7,0.0,16384,2.8984375,0.06719970703125,0.2646484375,0.37066650390625,0.2974853515625,0.3998715877532959,0.7821822762489319,0.8759386539459229
qwen,8,0.0,16384,2.870849609375,0.06884765625,0.28558349609375,0.3514404296875,0.29412841796875,0.36169150471687317,0.7634608149528503,0.8964588046073914
qwen,9,0.0,16384,2.93243408203125,0.055908203125,0.25872802734375,0.38238525390625,0.302978515625,0.39911481738090515,0.7718506455421448,0.8823819160461426
qwen,10,0.0,16384,2.88153076171875,0.07196044921875,0.27301025390625,0.3565673828125,0.2984619140625,0.34861093759536743,0.734624445438385,0.9043368697166443
qwen,11,0.0,16384,2.80792236328125,0.08343505859375,0.30810546875,0.3255615234375,0.28289794921875,0.3755107522010803,0.7731330394744873,0.8893053531646729
qwen,12,0.0,16384,2.84637451171875,0.12164306640625,0.22845458984375,0.331787109375,0.318115234375,0.3773418366909027,0.7632616758346558,0.8898797631263733
qwen,13,0.0,16384,2.820556640625,0.07440185546875,0.29937744140625,0.35748291015625,0.26873779296875,0.39043211936950684,0.7679405212402344,0.8843510746955872
qwen,14,0.0,16384,2.85980224609375,0.0574951171875,0.2950439453125,0.37762451171875,0.26983642578125,0.37422457337379456,0.778802216053009,0.8887327909469604
qwen,15,0.0,16384,2.84942626953125,0.11407470703125,0.24554443359375,0.3172607421875,0.3231201171875,0.3590337038040161,0.8044147491455078,0.8868443965911865
qwen,16,0.0,16384,2.89617919921875,0.08258056640625,0.2613525390625,0.3333740234375,0.32269287109375,0.32616710662841797,0.771515429019928,0.9078340530395508
qwen,17,0.0,16384,2.8846435546875,0.1258544921875,0.2259521484375,0.285888671875,0.3623046875,0.3222028911113739,0.8197324872016907,0.898914098739624
qwen,18,0.0,16384,2.847900390625,0.12451171875,0.225341796875,0.327880859375,0.322265625,0.2919395864009857,0.8342351913452148,0.9090229272842407
qwen,19,0.0,16384,2.80902099609375,0.12701416015625,0.2362060546875,0.3375244140625,0.29925537109375,0.2899957299232483,0.8799780607223511,0.9026486277580261
qwen,20,0.0,16384,2.80755615234375,0.130126953125,0.24749755859375,0.30706787109375,0.3153076171875,0.33610719442367554,0.9127510190010071,0.874535858631134
qwen,21,0.0,16384,2.87579345703125,0.07281494140625,0.2723388671875,0.361083984375,0.29376220703125,0.30262264609336853,0.8732286691665649,0.9004130363464355
qwen,22,0.0,16384,2.7486572265625,0.104248046875,0.28521728515625,0.3681640625,0.24237060546875,0.2977585792541504,0.8100969791412354,0.9097538590431213
qwen,23,0.0,16384,2.971435546875,0.0579833984375,0.25164794921875,0.351318359375,0.33905029296875,0.058109477162361145,0.26623573899269104,0.9921517372131348
qwen,0,0.5,16384,2.7354736328125,0.12835693359375,0.28363037109375,0.31219482421875,0.27581787109375,0.30890733003616333,0.7862846255302429,0.9069695472717285
qwen,1,0.5,16384,2.79833984375,0.12188720703125,0.25146484375,0.33306884765625,0.2935791015625,0.2888486683368683,0.8132240176200867,0.9126976132392883
qwen,2,0.5,16384,2.75701904296875,0.1611328125,0.24554443359375,0.26849365234375,0.3248291015625,0.41196054220199585,0.8643494248390198,0.8439812660217285
qwen,3,0.5,16384,2.7611083984375,0.13079833984375,0.283203125,0.28009033203125,0.305908203125,0.3866119384765625,0.8662015199661255,0.860328733921051
qwen,4,0.5,16384,2.817138671875,0.1307373046875,0.25079345703125,0.2890625,0.32940673828125,0.3610917329788208,0.8666723966598511,0.8678284883499146
qwen,5,0.5,16384,2.81689453125,0.13140869140625,0.2650146484375,0.25885009765625,0.3447265625,0.4116676449775696,0.8538501262664795,0.8478829264640808
qwen,6,0.5,16384,2.79046630859375,0.1612548828125,0.24945068359375,0.22686767578125,0.3624267578125,0.38415759801864624,0.8128741979598999,0.8689383268356323
qwen,7,0.5,16384,2.781982421875,0.1575927734375,0.24017333984375,0.264892578125,0.33734130859375,0.37688809633255005,0.8025678992271423,0.8769725561141968
qwen,8,0.5,16384,2.68743896484375,0.2227783203125,0.23394775390625,0.17633056640625,0.366943359375,0.36768725514411926,0.7810131311416626,0.880355179309845
qwen,9,0.5,16384,2.779052734375,0.15997314453125,0.23492431640625,0.27117919921875,0.33392333984375,0.3731243908405304,0.7786529660224915,0.8850909471511841
qwen,10,0.5,16384,2.73980712890625,0.17108154296875,0.2481689453125,0.2506103515625,0.33013916015625,0.3812740445137024,0.7774480581283569,0.8798089623451233
qwen,11,0.5,16384,2.68359375,0.21478271484375,0.23883056640625,0.19439697265625,0.35198974609375,0.40467554330825806,0.7952434420585632,0.8611342906951904
qwen,12,0.5,16384,2.737060546875,0.20611572265625,0.22845458984375,0.18768310546875,0.37774658203125,0.37803053855895996,0.7761891484260559,0.8755308985710144
qwen,13,0.5,16384,2.7261962890625,0.201904296875,0.2362060546875,0.1956787109375,0.3662109375,0.37848180532455444,0.777258038520813,0.8748481869697571
qwen,14,0.5,16384,2.66595458984375,0.264404296875,0.1893310546875,0.16217041015625,0.38409423828125,0.38992851972579956,0.8096494674682617,0.8626604676246643
qwen,15,0.5,16384,2.67681884765625,0.2010498046875,0.2777099609375,0.16461181640625,0.35662841796875,0.43446338176727295,0.8354014158248901,0.8340274095535278
qwen,16,0.5,16384,2.66888427734375,0.22283935546875,0.234375,0.19384765625,0.34893798828125,0.41456925868988037,0.8313201069831848,0.8482792377471924
qwen,17,0.5,16384,2.805908203125,0.11572265625,0.28216552734375,0.2825927734375,0.31951904296875,0.3921903967857361,0.8275361061096191,0.8679024577140808
qwen,18,0.5,16384,2.7723388671875,0.1739501953125,0.2320556640625,0.24169921875,0.352294921875,0.31209662556648254,0.8571491241455078,0.8921576738357544
qwen,19,0.5,16384,2.7388916015625,0.12542724609375,0.29266357421875,0.29949951171875,0.28240966796875,0.340696781873703,0.8522151112556458,0.8877105116844177
qwen,20,0.5,16384,2.7437744140625,0.16546630859375,0.24078369140625,0.27825927734375,0.31549072265625,0.3470515012741089,0.9141414165496826,0.8658024072647095
qwen,21,0.5,16384,2.802978515625,0.15606689453125,0.2366943359375,0.25543212890625,0.351806640625,0.2922421395778656,0.8991777300834656,0.8949410915374756
qwen,22,0.5,16384,2.81695556640625,0.1224365234375,0.27313232421875,0.26947021484375,0.3349609375,0.22982530295848846,0.7045300602912903,0.9407267570495605
qwen,23,0.5,16384,2.74090576171875,0.1839599609375,0.24786376953125,0.21148681640625,0.356689453125,0.07688899338245392,0.38580992817878723,0.9876524209976196
qwen,0,1.0,16384,2.68487548828125,0.1676025390625,0.27593994140625,0.26043701171875,0.2960205078125,0.38628771901130676,0.7967138290405273,0.8768888115882874
qwen,1,1.0,16384,2.75665283203125,0.16729736328125,0.23846435546875,0.2645263671875,0.3297119140625,0.4197322726249695,0.891830563545227,0.8370789289474487
qwen,2,1.0,16384,2.72314453125,0.16790771484375,0.25732421875,0.25848388671875,0.3162841796875,0.4829008877277374,0.8941991925239563,0.7973343133926392
qwen,3,1.0,16384,2.74456787109375,0.17474365234375,0.24774169921875,0.2357177734375,0.341796875,0.4263889491558075,0.8833433985710144,0.8292343616485596
qwen,4,1.0,16384,2.74432373046875,0.15802001953125,0.26409912109375,0.25341796875,0.324462890625,0.4883957803249359,0.882278323173523,0.7974071502685547
qwen,5,1.0,16384,2.74456787109375,0.17681884765625,0.24578857421875,0.2333984375,0.343994140625,0.4236006736755371,0.8627714514732361,0.8368058204650879
qwen,6,1.0,16384,2.75555419921875,0.17010498046875,0.2496337890625,0.23486328125,0.34539794921875,0.4249825179576874,0.8256624341011047,0.8455590605735779
qwen,7,1.0,16384,2.712158203125,0.234619140625,0.20758056640625,0.1688232421875,0.38897705078125,0.3991882801055908,0.814308762550354,0.8542520999908447
qwen,8,1.0,16384,2.6900634765625,0.2291259765625,0.220458984375,0.181640625,0.3687744140625,0.3623817563056946,0.7728239297866821,0.8839523792266846
qwen,9,1.0,16384,2.72674560546875,0.1932373046875,0.23907470703125,0.21539306640625,0.352294921875,0.3951599895954132,0.798189103603363,0.8673238754272461
qwen,10,1.0,16384,2.7213134765625,0.21124267578125,0.22808837890625,0.18878173828125,0.37188720703125,0.3930843472480774,0.8022806644439697,0.8643654584884644
qwen,11,1.0,16384,2.65521240234375,0.27227783203125,0.19097900390625,0.14599609375,0.3907470703125,0.39247629046440125,0.7973197102546692,0.8617822527885437
qwen,12,1.0,16384,2.72808837890625,0.1961669921875,0.21728515625,0.24884033203125,0.33770751953125,0.4372214674949646,0.7998533248901367,0.851998507976532
qwen,13,1.0,16384,2.75433349609375,0.1695556640625,0.2364501953125,0.26409912109375,0.32989501953125,0.4249052107334137,0.7939705848693848,0.8588373064994812
qwen,14,1.0,16384,2.69659423828125,0.24603271484375,0.18048095703125,0.204345703125,0.369140625,0.4240942597389221,0.8280313611030579,0.8470014929771423
qwen,15,1.0,16384,2.64056396484375,0.23046875,0.2567138671875,0.15460205078125,0.35821533203125,0.4432603418827057,0.8331365585327148,0.8268305063247681
qwen,16,1.0,16384,2.6090087890625,0.28057861328125,0.20379638671875,0.14166259765625,0.37396240234375,0.41548585891723633,0.8354318737983704,0.8374930024147034
qwen,17,1.0,16384,2.688720703125,0.21405029296875,0.23052978515625,0.20806884765625,0.34735107421875,0.42263662815093994,0.8317573666572571,0.8454734086990356
qwen,18,1.0,16384,2.7430419921875,0.227294921875,0.20562744140625,0.163818359375,0.40325927734375,0.3737894296646118,0.8373327851295471,0.8657302260398865
qwen,19,1.0,16384,2.7564697265625,0.14385986328125,0.2818603515625,0.24822998046875,0.3260498046875,0.4008691906929016,0.8187189102172852,0.8643113970756531
qwen,20,1.0,16384,2.78851318359375,0.15399169921875,0.25653076171875,0.2364501953125,0.35302734375,0.44357118010520935,0.8813856244087219,0.8245580196380615
qwen,21,1.0,16384,2.70806884765625,0.177001953125,0.2603759765625,0.24017333984375,0.32244873046875,0.42498084902763367,0.8684854507446289,0.8400160074234009
qwen,22,1.0,16384,2.7386474609375,0.18450927734375,0.24102783203125,0.22576904296875,0.34869384765625,0.273635596036911,0.704102635383606,0.9271624088287354
qwen,23,1.0,16384,2.77685546875,0.1240234375,0.27911376953125,0.2928466796875,0.30401611328125,0.10524043440818787,0.38543739914894104,0.9853691458702087
