model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,0,1,0_vs_05,hc_only,True,False,False,0.2662108540534973,1.3803871870040894,0.00054931640625,0.004531722054380665,1.4281208724053605,nan,1986,9
qwen,0,0,7,0_vs_05,hc_only,True,False,False,0.2212446928024292,1.275308609008789,0.00067138671875,0.005118659841786877,1.4368711846991993,nan,2149,11
qwen,0,0,8,0_vs_05,hc_only,True,False,False,0.23515310883522034,1.2671340703964233,0.00067138671875,0.005004549590536852,1.449159079188103,nan,2198,11
qwen,0,0,11,0_vs_05,hc_only,True,False,False,0.23420004546642303,1.27472984790802,0.00286865234375,0.023882113821138213,1.4379753809634264,1.447106343634585,1968,47
qwen,0,0,12,0_vs_05,hc_only,True,False,False,0.18037232756614685,1.212443232536316,0.0068359375,0.05423728813559322,1.4071185562281574,1.3989691276635443,2065,112
qwen,0,0,13,0_vs_05,hc_only,True,False,False,0.1540605127811432,1.3007887601852417,0.00433349609375,0.03815153143471252,1.4120362236703485,1.4001948245814149,1861,71
qwen,0,0,14,0_vs_05,hc_only,True,False,False,0.2710714042186737,1.3345927000045776,0.00262451171875,0.020564323290291727,1.4610401896527372,1.494633716206218,2091,43
qwen,0,0,15,0_vs_05,hc_only,True,False,False,0.1623363047838211,1.1478379964828491,0.00274658203125,0.021018215787015414,1.413995317408327,1.4020375251770019,2141,45
qwen,0,0,16,0_vs_05,hc_only,True,False,False,0.15181457996368408,1.2001705169677734,0.0032958984375,0.029016657710908115,1.4128873651864258,1.4052971888471533,1861,54
qwen,0,0,17,0_vs_05,hc_only,True,False,False,0.17040638625621796,1.1414315700531006,0.0020751953125,0.016299137104506232,1.4166794513581698,1.4036203587756437,2086,34
qwen,0,0,20,0_vs_05,hc_only,True,False,False,0.25917014479637146,1.3449876308441162,0.00146484375,0.011461318051575931,1.4633019150385087,nan,2094,24
qwen,0,0,21,0_vs_05,hc_only,True,False,False,0.18638144433498383,1.2771167755126953,0.00152587890625,0.012774655084312723,1.412761050825163,nan,1957,25
qwen,0,0,22,0_vs_05,hc_only,True,False,False,0.17440477013587952,1.2341362237930298,0.00439453125,0.038876889848812095,1.404214980535322,1.397677716281679,1852,72
qwen,0,0,23,0_vs_05,hc_only,True,False,False,0.20832714438438416,1.2132574319839478,0.00433349609375,0.033474776049033476,1.4305587536543396,1.412915029995878,2121,71
qwen,0,0,24,0_vs_05,hc_only,True,False,False,0.15429753065109253,1.160875916481018,0.0048828125,0.03992015968063872,1.4134690644974242,1.3976483792066574,2004,80
qwen,0,0,27,0_vs_05,hc_only,True,False,False,0.17369282245635986,1.1274694204330444,0.00408935546875,0.03615758229897464,1.4140948379483662,1.3933751849985834,1853,67
qwen,0,0,29,0_vs_05,hc_only,True,False,False,0.1539183259010315,1.1793802976608276,0.0045166015625,0.03676105315449578,1.4080143905787461,1.39785261250831,2013,74
qwen,0,0,30,0_vs_05,hc_only,True,False,False,0.16159583628177643,1.1675080060958862,0.0078125,0.06652806652806653,1.405735455035172,1.3905025823041797,1924,128
qwen,0,0,32,0_vs_05,hc_only,True,False,False,0.27167797088623047,1.3101410865783691,0.0025634765625,0.02021174205967276,1.459531911413066,1.4891467576935178,2078,42
qwen,0,0,35,0_vs_05,hc_only,True,False,False,0.15591727197170258,1.155067801475525,0.00274658203125,0.02109704641350211,1.4135729885414292,1.4157851272159152,2133,45
qwen,0,0,44,0_vs_05,hc_only,True,False,False,0.16880345344543457,1.2699016332626343,0.00048828125,0.004223864836325237,1.417056685390291,nan,1894,8
qwen,0,0,47,0_vs_05,hc_only,True,False,False,0.19941158592700958,1.1927521228790283,0.00189208984375,0.015562248995983935,1.4243354692037804,nan,1992,31
qwen,0,0,48,0_vs_05,hc_only,True,False,False,0.17588357627391815,1.175270438194275,0.0035400390625,0.03308613804905876,1.4110546343270807,1.3984901596759927,1753,58
qwen,0,0,49,0_vs_05,hc_only,True,False,False,0.23706494271755219,1.3385635614395142,0.00189208984375,0.013253527148353997,1.4523247628703286,nan,2339,31
qwen,0,0,52,0_vs_05,hc_only,True,False,False,0.16015484929084778,1.1520742177963257,0.01239013671875,0.11105032822757112,1.4097950930668437,1.3926471507020772,1828,203
qwen,0,0,53,0_vs_05,hc_only,True,False,False,0.2133909910917282,1.2136460542678833,0.004638671875,0.03929679420889348,1.4257654241346893,1.4138226995342655,1934,76
qwen,0,0,54,0_vs_05,hc_only,True,False,False,0.1703266054391861,1.1890097856521606,0.0050048828125,0.04242110708742887,1.4244391519790232,1.4088808850544254,1933,82
qwen,0,0,55,0_vs_05,hc_only,True,False,False,0.2571973204612732,1.3451590538024902,0.0050048828125,0.04268610098906819,1.4615074301187971,1.4693147249338103,1921,82
qwen,0,0,56,0_vs_05,hc_only,True,False,False,0.2104625701904297,1.2359843254089355,0.00469970703125,0.03804347826086957,1.467177859408111,1.5636254610953393,2024,77
qwen,0,0,57,0_vs_05,hc_only,True,False,False,0.16184526681900024,1.0907776355743408,0.0057373046875,0.05187637969094923,1.4200571046496595,1.4042363826264725,1812,94
qwen,0,1,3,05_vs_1,shared_05_1,False,True,True,0.3251715302467346,1.311631679534912,0.00604248046875,0.045601105481345,1.4479733993797355,1.4330313217760338,2171,99
qwen,0,1,3,0_vs_05,hybrid_only_vs_hc,False,True,True,0.3251715302467346,1.311631679534912,0.00604248046875,0.045601105481345,1.4479733993797355,1.4330313217760338,2171,99
qwen,0,1,4,05_vs_1,shared_05_1,False,True,True,0.3492909073829651,1.2467472553253174,0.008056640625,0.06191369606003752,1.4289359277005937,1.383483516447472,2132,132
qwen,0,1,4,0_vs_05,hybrid_only_vs_hc,False,True,True,0.3492909073829651,1.2467472553253174,0.008056640625,0.06191369606003752,1.4289359277005937,1.383483516447472,2132,132
qwen,0,1,7,05_vs_1,shared_05_1,True,True,True,0.29838302731513977,1.3075318336486816,0.00677490234375,0.05240793201133145,1.4215032727905217,1.4073082423424936,2118,111
qwen,0,1,7,0_vs_05,shared_0_05,True,True,True,0.29838302731513977,1.3075318336486816,0.00677490234375,0.05240793201133145,1.4215032727905217,1.4073082423424936,2118,111
qwen,0,1,8,05_vs_1,shared_05_1,True,True,True,0.3118204176425934,1.2976365089416504,0.0010986328125,0.007964601769911504,1.4367508900904022,nan,2260,18
qwen,0,1,8,0_vs_05,shared_0_05,True,True,True,0.3118204176425934,1.2976365089416504,0.0010986328125,0.007964601769911504,1.4367508900904022,nan,2260,18
