method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_rate_1,unique_group_rate_2,mean_unique_groups,mean_intragroup_output_distance,oracle_unique_group_rate_1,oracle_unique_group_rate_2,oracle_mean_unique_groups,oracle_mean_intragroup_output_distance
objective_aware,1.0,0,"[[0],[1],[2,3,4,5,7],[6]]","[5,1,1,1]",4,27713,37823,0.4228668212890625,0.5771331787109375,1.5771331787109375,0.12672947719693184,0.4386749267578125,0.5613250732421875,1.5613250732421875,0.1355750985443592
legacy_pairwise_hc,1.0,0,"[[0],[1],[2,3,4,5,7],[6]]","[5,1,1,1]",4,27713,37823,0.4228668212890625,0.5771331787109375,1.5771331787109375,0.12672947719693184,0.4386749267578125,0.5613250732421875,1.5613250732421875,0.1355750985443592
objective_aware,1.0,1,"[[0,6],[1,2,5,7],[3],[4]]","[4,2,1,1]",4,15388,50148,0.23480224609375,0.76519775390625,1.76519775390625,0.15646256932190486,0.4033050537109375,0.5966949462890625,1.5966949462890625,0.4531985655426979
legacy_pairwise_hc,1.0,1,"[[0,6],[1,2,5,7],[3],[4]]","[4,2,1,1]",4,15388,50148,0.23480224609375,0.76519775390625,1.76519775390625,0.15646256932190486,0.4033050537109375,0.5966949462890625,1.5966949462890625,0.4531985655426979
objective_aware,1.0,2,"[[0,1,2,3,4],[5],[6],[7]]","[5,1,1,1]",4,27035,38501,0.4125213623046875,0.5874786376953125,1.5874786376953125,0.24409200698137284,0.4145660400390625,0.5854339599609375,1.5854339599609375,0.2675840616226196
legacy_pairwise_hc,1.0,2,"[[0,1,2,3,4],[5],[6],[7]]","[5,1,1,1]",4,27035,38501,0.4125213623046875,0.5874786376953125,1.5874786376953125,0.24409200698137284,0.4145660400390625,0.5854339599609375,1.5854339599609375,0.2675840616226196
objective_aware,1.0,3,"[[0,2,4,5],[1],[3],[6,7]]","[4,2,1,1]",4,18114,47422,0.276397705078125,0.723602294921875,1.723602294921875,0.30322309902736116,0.402313232421875,0.597686767578125,1.597686767578125,0.3171242028474808
legacy_pairwise_hc,1.0,3,"[[0,2,4,5],[1],[3],[6,7]]","[4,2,1,1]",4,18114,47422,0.276397705078125,0.723602294921875,1.723602294921875,0.30322309902736116,0.402313232421875,0.597686767578125,1.597686767578125,0.3171242028474808
objective_aware,1.0,4,"[[0,2,6],[1,3,7],[4],[5]]","[3,3,1,1]",4,13316,52220,0.20318603515625,0.79681396484375,1.79681396484375,0.406292845805486,0.39471435546875,0.60528564453125,1.60528564453125,0.43909434974193573
legacy_pairwise_hc,1.0,4,"[[0,2,6],[1,3,7],[4],[5]]","[3,3,1,1]",4,13316,52220,0.20318603515625,0.79681396484375,1.79681396484375,0.406292845805486,0.39471435546875,0.60528564453125,1.60528564453125,0.43909434974193573
objective_aware,1.0,5,"[[0,4,6],[1,5,7],[2],[3]]","[3,3,1,1]",4,16401,49135,0.2502593994140625,0.7497406005859375,1.7497406005859375,0.5199532558520635,0.4047393798828125,0.5952606201171875,1.5952606201171875,0.5259082287549972
legacy_pairwise_hc,1.0,5,"[[0,4,6],[1,5,7],[2],[3]]","[3,3,1,1]",4,16401,49135,0.2502593994140625,0.7497406005859375,1.7497406005859375,0.5199532558520635,0.4047393798828125,0.5952606201171875,1.5952606201171875,0.5259082287549972
